"","treatment","database","cohort","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","MIMIC","all","0","3","1.76630817444456e-07","-2.31987427407188e-05","2.35520043756077e-05","0.988183518613453","7121"
"2","mech_vent","MIMIC","all","4","6","1.08589045366703e-07","-2.02040299644028e-05","2.04212080551362e-05","0.991639961479156","9382"
"3","mech_vent","MIMIC","all","7","10","3.90108834125158e-09","-2.54045972833265e-05","2.5412399460009e-05","0.999759894055603","6275"
"4","mech_vent","MIMIC","all","11","100","-9.92684684009149e-07","-5.26080794060466e-05","5.06227100380283e-05","0.969930558636994","2818"
"5","vasopressor","MIMIC","all","0","3","2.18183518890802e-08","-2.42570999920159e-05","2.43007366957941e-05","0.998594636999129","7121"
"6","vasopressor","MIMIC","all","4","6","-4.01028682484039e-09","-2.02744793531681e-05","2.02664587795184e-05","0.999690608941091","9382"
"7","vasopressor","MIMIC","all","7","10","3.96446708794684e-09","-2.72491259416249e-05","2.72570548758008e-05","0.999772508493447","6275"
"8","vasopressor","MIMIC","all","11","100","2.74331172078757e-06","-6.98528880141376e-05","7.53395114557127e-05","0.940958078966962","2818"
"9","rrt","MIMIC","all","0","3","0.00031399777020151","0.000288817456046978","0.000339178084356042","6.25135984670101e-132","7121"
"10","rrt","MIMIC","all","4","6","1.90454019101394e-05","-1.53801727231249e-05","5.34709765434036e-05","0.278214589212882","9382"
"11","rrt","MIMIC","all","7","10","-3.2511589309614e-07","-3.48452319410933e-05","3.4195000154901e-05","0.98527221546676","6275"
"12","rrt","MIMIC","all","11","100","-3.18768422769011e-09","-3.90236840410296e-05","3.90173086725742e-05","0.999872244785615","2818"
