"","treatment","database","cohort","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","merged","all","0","3","0.0994866300446204","0.0886114970402601","0.110361763048981","6.84777612927091e-72","23961"
"2","mech_vent","merged","all","4","6","0.106789617651189","0.0965398672302382","0.117039368072141","1.09359162515985e-92","23170"
"3","mech_vent","merged","all","7","10","0.0799899768514396","0.0647057289684893","0.0952742247343898","1.09343295833063e-24","13616"
"4","mech_vent","merged","all","11","100","0.0315069293215628","-0.00922119001546329","0.072235048658589","0.129458814785425","4939"
"5","vasopressor","merged","all","0","3","0.0534723637389682","0.0447154521161661","0.0622292753617704","5.20499325960397e-33","23961"
"6","vasopressor","merged","all","4","6","0.0647182021704959","0.0558249881984432","0.0736114161425485","3.69856389965962e-46","23170"
"7","vasopressor","merged","all","7","10","0.0839290834088788","0.0682495432972557","0.0996086235205019","9.45727322176773e-26","13616"
"8","vasopressor","merged","all","11","100","0.145903546323383","0.10264435892275","0.189162733724017","3.8265986779722e-11","4939"
"9","rrt","merged","all","0","3","0.0928834259969983","0.0799565148703929","0.105810337123604","4.82179432359551e-45","23961"
"10","rrt","merged","all","4","6","0.0737969666226603","0.0561907296051575","0.0914032036401631","2.11480725556413e-16","23170"
"11","rrt","merged","all","7","10","0.0431824523947801","0.0204959498612324","0.0658689549283278","0.000190912687421678","13616"
"12","rrt","merged","all","11","100","-0.0227057104125178","-0.0530376469526554","0.00762622612761987","0.142320086876008","4939"
"13","mech_vent","merged","cancer","0","3","0.105714703262448","0.0606265098376835","0.150802896687213","4.31803476217823e-06","2217"
"14","mech_vent","merged","cancer","4","6","0.0794721891359704","0.0392410034152464","0.119703374856694","0.000108052371361268","2525"
"15","mech_vent","merged","cancer","7","10","0.0139866969575341","-0.0362866313824763","0.0642600252975446","0.585548844241042","1613"
"16","mech_vent","merged","cancer","11","100","-0.0193556779171196","-0.108989667272568","0.0702783114383285","0.672116591911139","715"
"17","vasopressor","merged","cancer","0","3","0.0517355359268861","0.010917877207266","0.0925531946465062","0.0129821219949598","2217"
"18","vasopressor","merged","cancer","4","6","0.0741298374724476","0.0384071460323914","0.109852528912504","4.75634045966642e-05","2525"
"19","vasopressor","merged","cancer","7","10","0.056657197713804","0.00556080713473089","0.107753588292877","0.0297572716995902","1613"
"20","vasopressor","merged","cancer","11","100","0.117994000397371","0.00864285858534823","0.227345142209395","0.0344372933027789","715"
"21","rrt","merged","cancer","0","3","0.165955787113698","0.115654028806408","0.216257545420988","1.0033810296678e-10","2217"
"22","rrt","merged","cancer","4","6","0.122356671651399","0.0617909696636885","0.182922373639109","7.5059196790136e-05","2525"
"23","rrt","merged","cancer","7","10","0.037561227539169","-0.0409327408463353","0.116055195924673","0.348292444053462","1613"
"24","rrt","merged","cancer","11","100","-0.0178527595172098","-0.102337712257012","0.0666321932225924","0.678747220395983","715"
"25","mech_vent","merged","noncancer","0","3","0.100001626272297","0.0889469418689724","0.111056310675621","2.4460036528498e-70","21834"
"26","mech_vent","merged","noncancer","4","6","0.108670262815367","0.0983209097890389","0.119019615841695","4.11363886258683e-94","20794"
"27","mech_vent","merged","noncancer","7","10","0.0876173584966151","0.0717432344351783","0.103491482558052","2.82155190247589e-27","12121"
"28","mech_vent","merged","noncancer","11","100","0.0382076308431764","-0.00723379795833884","0.0836490596446917","0.0993550113612143","4278"
"29","vasopressor","merged","noncancer","0","3","0.0531492274823146","0.0444023416164966","0.0618961133481327","1.05399077576656e-32","21834"
"30","vasopressor","merged","noncancer","4","6","0.0639488718743802","0.0549591706511759","0.0729385730975844","3.49001871895413e-44","20794"
"31","vasopressor","merged","noncancer","7","10","0.0871163301996748","0.0707543249049146","0.103478335494435","1.70460038249582e-25","12121"
"32","vasopressor","merged","noncancer","11","100","0.147072141176751","0.100428738868225","0.193715543485276","6.40566076604629e-10","4278"
"33","rrt","merged","noncancer","0","3","0.0850766715322155","0.0718455108417489","0.0983078322226821","2.03661692626244e-36","21834"
"34","rrt","merged","noncancer","4","6","0.0661210723184208","0.0478901246689295","0.0843520199679121","1.17189281275934e-12","20794"
"35","rrt","merged","noncancer","7","10","0.0457009105863058","0.0221364942078874","0.0692653269647242","0.000143979123574023","12121"
"36","rrt","merged","noncancer","11","100","-0.019221244258353","-0.0517320870434501","0.0132895985267441","0.24653678791539","4278"
