"","treatment","database","cohort","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","merged","all","0","4","0.104966593479858","0.0958850161485281","0.114048170811188","1.2725401150123e-113","32896"
"2","mech_vent","merged","all","5","100","0.0814347442447184","0.071126580988449","0.0917429075009877","4.44592380814503e-54","32790"
"3","vasopressor","merged","all","0","4","0.0580511270014569","0.0506374614441349","0.0654647925587788","3.68884602287578e-53","32896"
"4","vasopressor","merged","all","5","100","0.0829303219258511","0.0726320191373526","0.0932286247143496","4.04037733679845e-56","32790"
"5","rrt","merged","all","0","4","0.0807044308765897","0.0688196001028897","0.0925892616502896","2.0394936683192e-40","32896"
"6","rrt","merged","all","5","100","0.0429103950131381","0.028315332990736","0.0575054570355402","8.28659603102032e-09","32790"
"7","mech_vent","merged","cancer","0","4","0.0904747246087926","0.0544020272204791","0.126547421997106","8.83669095240268e-07","3221"
"8","mech_vent","merged","cancer","5","100","0.0344680291983386","0.00166623077975477","0.0672698276169225","0.0394404330914973","3849"
"9","vasopressor","merged","cancer","0","4","0.0675825040931566","0.034481813481913","0.1006831947044","6.28675288583686e-05","3221"
"10","vasopressor","merged","cancer","5","100","0.0701762283708398","0.0358914814667514","0.104460975274928","6.024369126515e-05","3849"
"11","rrt","merged","cancer","0","4","0.147355908651837","0.103886364543133","0.190825452760541","3.04999999124574e-11","3221"
"12","rrt","merged","cancer","5","100","0.0396957865573829","-0.00831779686043911","0.0877093699752049","0.105135063675062","3849"
"13","mech_vent","merged","noncancer","0","4","0.10568742642584","0.0967746172018156","0.114600235649865","1.73257203214914e-119","29815"
"14","mech_vent","merged","noncancer","5","100","0.0862229457452422","0.0753787903486566","0.0970671011418278","9.32921144294713e-55","29212"
"15","vasopressor","merged","noncancer","0","4","0.0571587247660123","0.0497371267183216","0.0645803228137031","1.73947933068448e-51","29815"
"16","vasopressor","merged","noncancer","5","100","0.0849695628847114","0.0742774360238424","0.0956616897455803","1.06017389208016e-54","29212"
"17","rrt","merged","noncancer","0","4","0.0733222003922221","0.0611536064385262","0.0854907943459181","3.46419668091713e-32","29815"
"18","rrt","merged","noncancer","5","100","0.0418712357943476","0.0268043496736834","0.0569381219150118","5.12590807134975e-08","29212"
