"","treatment","database","cohort","cancer_cat","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","merged","cancer","cat_solid","0","4","0.0913008333523123","0.0492702446091532","0.133331422095471","2.06628870461202e-05","2359"
"2","mech_vent","merged","cancer","cat_solid","5","100","0.00772562732511745","-0.0313919515382967","0.0468432061885316","0.698685682868824","2556"
"3","mech_vent","merged","cancer","cat_hematological","0","4","0.10750454749927","0.0127941813036011","0.202214913694939","0.0260965889174855","559"
"4","mech_vent","merged","cancer","cat_hematological","5","100","0.093047980129656","0.0237134708111858","0.162382489448126","0.00852969494910717","1075"
"5","mech_vent","merged","cancer","cat_metastasized","0","4","0.0516649885099115","-0.0204226270827011","0.123752604102524","0.160102649181365","1063"
"6","mech_vent","merged","cancer","cat_metastasized","5","100","-0.00582558932345911","-0.0676981054160535","0.0560469267691353","0.853587302820361","1132"
"7","vasopressor","merged","cancer","cat_solid","0","4","0.0576388308278872","0.0195670216072662","0.0957106400485083","0.00300385858481774","2359"
"8","vasopressor","merged","cancer","cat_solid","5","100","0.0835822246524232","0.0414862468509374","0.125678202453909","9.95809097327318e-05","2556"
"9","vasopressor","merged","cancer","cat_hematological","0","4","0.129748794876851","0.0448168594881357","0.214680730265566","0.0027511839398473","559"
"10","vasopressor","merged","cancer","cat_hematological","5","100","0.035602837202153","-0.0367563525460286","0.107962026950335","0.334856792677076","1075"
"11","vasopressor","merged","cancer","cat_metastasized","0","4","0.0248606886200428","-0.0418182843152384","0.091539661555324","0.464920047925308","1063"
"12","vasopressor","merged","cancer","cat_metastasized","5","100","0.0273066628474802","-0.039762058979914","0.0943753846748743","0.424868593816209","1132"
"13","rrt","merged","cancer","cat_solid","0","4","0.124940966720348","0.0760205551838198","0.173861378256876","5.56393605997054e-07","2359"
"14","rrt","merged","cancer","cat_solid","5","100","0.0040786817560059","-0.0563888746692871","0.0645462381812989","0.894820799849531","2556"
"15","rrt","merged","cancer","cat_hematological","0","4","0.265904839897912","0.144538603353141","0.387271076442683","1.75307492524322e-05","559"
"16","rrt","merged","cancer","cat_hematological","5","100","0.0186139265423124","-0.0712566381968167","0.108484491281441","0.684776556858896","1075"
"17","rrt","merged","cancer","cat_metastasized","0","4","0.151018965595947","0.0709002874187108","0.231137643773184","0.000220333788595077","1063"
"18","rrt","merged","cancer","cat_metastasized","5","100","0.0817688255685407","-0.0210217544687409","0.184559405605822","0.118958659774552","1132"
