"","OR","2.5 %","97.5 %","N"
"(Intercept)",0.159954086764544,0.141886694114167,0.180248588813536,65686
"m_age",0.886070903906389,0.873307061316358,0.899014008203208,65686
"sex_female",0.898441101403889,0.866945775303842,0.931074253810772,65686
"ethno_white",0.922653507716557,0.88620331794823,0.96062679687237,65686
"CCI",0.928734472912092,0.919943593064552,0.937588802676197,65686
"com_ckd_stagesPresent",0.522664443026618,0.489161932273656,0.5583136248118,65686
"SOFA",1.24288604041955,1.23438025623941,1.25148689271832,65686
"mortality_in",2.19755476006564,2.08762533981623,2.31351646896691,65686
"com_hypertension_present",1.2070737037944,1.16122308890494,1.25478069187025,65686
"com_heart_failure_present",1.06986074298218,1.02413996330211,1.11760600876625,65686
"com_asthma_present",0.866325681907991,0.760020735740342,0.986682905023631,65686
"com_copd_present",1.47838157389348,1.41454412309206,1.5451192973331,65686
"vasopressor",2.63124317083541,2.53466108150014,2.7315838434006,65686
"rrt",1.22467360311783,1.13737494677363,1.31891613916974,65686
"has_cancer",0.858123706128697,0.696073755461653,1.05721210646488,65686
"cat_solid",1.07810903575759,0.886667787799928,1.31198756676729,65686
"cat_hematological",0.708619387943083,0.564679636094527,0.889131081976606,65686
"cat_metastasized",0.88173543231867,0.764614919410555,1.01628456746237,65686
"is_full_code_admission",2.77139629888132,2.56855448393204,2.99211451469341,65686
