cohort,group,treatment,OR,2.5%,97.5%,N
group_solid_vs_others,group_solid,mv_elig,0.9997511929325548,0.9997511929325548,0.9997511929325548,55641.0
group_solid_vs_others,group_solid,rrt_elig,0.9995801790532219,0.9995801790532219,0.9995801790532219,55641.0
group_solid_vs_others,group_solid,vp_elig,0.9998559510020405,0.9998559510020405,0.9998559510020405,55641.0
group_hematological_vs_others,group_hematological,mv_elig,0.9997142807031842,0.9997142807031842,0.9997142807031842,54270.0
group_hematological_vs_others,group_hematological,rrt_elig,0.9999793158572816,0.9999793158572816,0.9999793158572816,54270.0
group_hematological_vs_others,group_hematological,vp_elig,0.9998092289423569,0.9998092289423569,0.9998092289423569,54270.0
group_metastasized_vs_others,group_metastasized,mv_elig,0.9993152254623328,0.9993152254623328,0.9993152254623328,54763.0
group_metastasized_vs_others,group_metastasized,rrt_elig,0.9993915817554628,0.9993915817554628,0.9993915817554628,54763.0
group_metastasized_vs_others,group_metastasized,vp_elig,0.9995943215226131,0.9995943215226131,0.9995943215226131,54763.0
cancer_vs_noncancer,has_cancer,mv_elig,0.9992078939387096,0.9992078939387096,0.9992078939387096,58988.0
cancer_vs_noncancer,has_cancer,rrt_elig,0.9993911834550205,0.9993911834550205,0.9993911834550205,58988.0
cancer_vs_noncancer,has_cancer,vp_elig,0.9994040002358912,0.9994040002358912,0.9994040002358912,58988.0
