cohort,group,treatment,OR,2.5%,97.5%,N
cancer_vs_noncancer,has_cancer,mv_elig,1.0218523830823307,0.9977799624263708,1.0539455796796304,35369.0
cancer_vs_noncancer,has_cancer,rrt_elig,0.8697128817102668,0.8124896756109434,0.9137629678525007,35369.0
cancer_vs_noncancer,has_cancer,vp_elig,0.9802823243016747,0.9584236768710047,0.9876052143527969,35369.0
group_solid_vs_others,group_solid,mv_elig,1.0811940723785,1.040046019908617,1.118838089756668,34467.0
group_solid_vs_others,group_solid,rrt_elig,0.8905217365328996,0.8080799632573439,0.9423033613491085,34467.0
group_solid_vs_others,group_solid,vp_elig,0.989787273432817,0.9617691912096697,0.9992612511292264,34467.0
group_hematological_vs_others,group_hematological,mv_elig,0.9344489839242678,0.8466092620670902,0.9990535131508289,33616.0
group_hematological_vs_others,group_hematological,rrt_elig,0.9760648261966849,0.9266910335548738,1.04948390983845,33616.0
group_hematological_vs_others,group_hematological,vp_elig,0.9779560032293333,0.9194406237760311,1.0081685819802118,33616.0
group_metastasized_vs_others,group_metastasized,mv_elig,1.0578271036193696,0.9958318304549293,1.1388214316334098,33484.0
group_metastasized_vs_others,group_metastasized,rrt_elig,0.9438010613133422,0.8872554860829338,1.0054929921972813,33484.0
group_metastasized_vs_others,group_metastasized,vp_elig,1.0064028974731578,0.9916374019540122,1.0648011397899848,33484.0
