cohort,group,treatment,OR,2.5%,97.5%,N
cancer_vs_others,has_cancer,mv_elig,0.9877861170130486,0.9877861170130486,0.9877861170130486,23619.0
cancer_vs_others,has_cancer,rrt_elig,0.9878218243916365,0.9878218243916365,0.9878218243916365,23619.0
cancer_vs_others,has_cancer,vp_elig,0.9918411003608538,0.9918411003608538,0.9918411003608538,23619.0
group_solid_vs_others,group_solid,mv_elig,1.0064560739374921,1.0064560739374921,1.0064560739374921,4065.0
group_solid_vs_others,group_solid,rrt_elig,1.0134935396475657,1.0134935396475657,1.0134935396475657,4065.0
group_solid_vs_others,group_solid,vp_elig,1.010436799584275,1.010436799584275,1.010436799584275,4065.0
group_hematological_vs_others,group_hematological,mv_elig,0.9973828771691846,0.9973828771691846,0.9973828771691846,4065.0
group_hematological_vs_others,group_hematological,rrt_elig,1.0103755309545561,1.0103755309545561,1.0103755309545561,4065.0
group_hematological_vs_others,group_hematological,vp_elig,0.9865442601975948,0.9865442601975948,0.9865442601975948,4065.0
group_metastasized_vs_others,group_metastasized,mv_elig,0.9933526559761697,0.9933526559761697,0.9933526559761697,4065.0
group_metastasized_vs_others,group_metastasized,rrt_elig,0.9842559154099761,0.9842559154099761,0.9842559154099761,4065.0
group_metastasized_vs_others,group_metastasized,vp_elig,1.000517700156021,1.000517700156021,1.000517700156021,4065.0
