cohort,group,treatment,OR,2.5%,97.5%
cancer_vs_others,has_cancer,mv_elig,1.0027707260062806,1.0027707260062806,1.0027707260062806
cancer_vs_others,has_cancer,rrt_elig,0.9347250418822053,0.9347250418822053,0.9347250418822053
cancer_vs_others,has_cancer,vp_elig,0.8406681526515836,0.8406681526515836,0.8406681526515836
group_solid_vs_others,group_solid,mv_elig,0.945820349879115,0.945820349879115,0.945820349879115
group_solid_vs_others,group_solid,rrt_elig,1.109751204070764,1.109751204070764,1.109751204070764
group_solid_vs_others,group_solid,vp_elig,1.0710295579527203,1.0710295579527203,1.0710295579527203
group_hematological_vs_others,group_hematological,mv_elig,0.987444044624695,0.987444044624695,0.987444044624695
group_hematological_vs_others,group_hematological,rrt_elig,1.1824028991075541,1.1824028991075541,1.1824028991075541
group_hematological_vs_others,group_hematological,vp_elig,0.9313214388954558,0.9313214388954558,0.9313214388954558
group_metastasized_vs_others,group_metastasized,mv_elig,0.9462190425821333,0.9462190425821333,0.9462190425821333
group_metastasized_vs_others,group_metastasized,rrt_elig,0.868396693323507,0.868396693323507,0.868396693323507
group_metastasized_vs_others,group_metastasized,vp_elig,1.1778655844152321,1.1778655844152321,1.1778655844152321
