cohort,group,treatment,OR,2.5%,97.5%,N
cancer_vs_noncancer,has_cancer,mv_elig,0.9314706908497001,0.8789381122365731,0.9765994530298415,35369.0
cancer_vs_noncancer,has_cancer,rrt_elig,0.8203455188025579,0.7608137547330042,0.8850366058975516,35369.0
cancer_vs_noncancer,has_cancer,vp_elig,0.9415132735057474,0.9126783941782702,0.9638482324268527,35369.0
group_solid_vs_others,group_solid,mv_elig,0.9842164588644573,0.9422487659836,1.0265092621580414,34467.0
group_solid_vs_others,group_solid,rrt_elig,0.7830979223014007,0.7309348609322276,0.8357764750227414,34467.0
group_solid_vs_others,group_solid,vp_elig,0.9924799340196897,0.9511428983100796,1.0073606999643638,34467.0
group_hematological_vs_others,group_hematological,mv_elig,0.871612051364812,0.8132750384401981,0.9246253616274513,33616.0
group_hematological_vs_others,group_hematological,rrt_elig,1.0158412234306415,0.964853091657929,1.1260553259003676,33616.0
group_hematological_vs_others,group_hematological,vp_elig,0.8304839778353617,0.7783770795860563,0.90160319074855,33616.0
group_metastasized_vs_others,group_metastasized,mv_elig,0.9301779201371054,0.9049678808503421,0.9814312174754372,33484.0
group_metastasized_vs_others,group_metastasized,rrt_elig,0.9648182879274787,0.9144318752603771,1.0705924886682472,33484.0
group_metastasized_vs_others,group_metastasized,vp_elig,0.9754754703947612,0.9346370842601837,1.0246258391156202,33484.0
