cohort,group,treatment,OR,2.5%,97.5%,N
cancer_vs_noncancer,has_cancer,mv_elig,0.9495596813495157,0.9121538630803331,0.993266307503014,23619.0
cancer_vs_noncancer,has_cancer,rrt_elig,0.8226155281627106,0.7462635397030772,0.8839860365052684,23619.0
cancer_vs_noncancer,has_cancer,vp_elig,1.0713742542463445,1.0328480235626563,1.1221161526081942,23619.0
group_solid_vs_others,group_solid,mv_elig,0.9769922987199988,0.9379964811731369,1.0083367989627279,21174.0
group_solid_vs_others,group_solid,rrt_elig,0.9010274676363965,0.8232020489289233,0.9667910852683831,21174.0
group_solid_vs_others,group_solid,vp_elig,1.1124209175960404,1.0484697666896114,1.1509711744281501,21174.0
group_hematological_vs_others,group_hematological,mv_elig,0.9962053851943495,0.9800129741934637,1.00916996057933,20654.0
group_hematological_vs_others,group_hematological,rrt_elig,1.1905500050788511,1.0555183731402429,1.3187071134627935,20654.0
group_hematological_vs_others,group_hematological,vp_elig,0.9906796128176211,0.9109217321436427,1.030400639745621,20654.0
group_metastasized_vs_others,group_metastasized,mv_elig,0.9500204891340565,0.8940043480169608,1.02772640834526,21279.0
group_metastasized_vs_others,group_metastasized,rrt_elig,0.7026367600427497,0.6362732669499089,0.7615373000772533,21279.0
group_metastasized_vs_others,group_metastasized,vp_elig,1.0602976315816024,1.025680345967715,1.1325899662545829,21279.0
