"","treatment","cohort","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","all","0","24","0.0956309993212328","0.0888606873988159","0.10240131124365","1.05542607350088e-168","59361"
"2","mech_vent","all","0","3","0.0907949717604467","0.0804274834264976","0.101162460094396","4.8531580773111e-66","22082"
"3","mech_vent","all","4","6","0.101160803532146","0.0916147499974456","0.110706857066847","8.0218449992141e-96","21047"
"4","mech_vent","all","7","10","0.0822446369243084","0.0674030946633032","0.0970861791853136","1.76086565077789e-27","12231"
"5","mech_vent","all","11","24","0.0828547436943105","0.0352956185343098","0.130413868854311","0.000638761904431344","4001"
"6","rrt","all","0","24","0.0565509694610912","0.0465794607344324","0.06652247818775","1.05269392812974e-28","59361"
"7","rrt","all","0","3","0.0965722878043281","0.0831879569937768","0.109956618614879","2.09145571200074e-45","22082"
"8","rrt","all","4","6","0.0723613427006103","0.0544121808704483","0.0903105045307723","2.7520618861652e-15","21047"
"9","rrt","all","7","10","0.0529509351416751","0.030753113120336","0.0751487571630142","2.93372465751356e-06","12231"
"10","rrt","all","11","24","0.011527296700954","-0.0204233786951531","0.0434779720970611","0.479481407125269","4001"
"11","vasopressor","all","0","24","0.0632223531358323","0.0572934954935071","0.0691512107781575","5.30389754002537e-97","59361"
"12","vasopressor","all","0","3","0.0422537028131319","0.0342001473857726","0.0503072582404911","8.37937801466887e-25","22082"
"13","vasopressor","all","4","6","0.0560363742583514","0.0475523569032789","0.064520391613424","2.48583210289171e-38","21047"
"14","vasopressor","all","7","10","0.0760687949030688","0.0606230795271502","0.0915145102789873","4.78183549066274e-22","12231"
"15","vasopressor","all","11","24","0.119169400187418","0.0712411514889709","0.167097648885865","1.09711224472373e-06","4001"
"16","mech_vent","cancer","0","24","0.0612546936639387","0.0370347790403548","0.0854746082875225","7.15735118891173e-07","6783"
"17","mech_vent","cancer","0","3","0.0896999621577042","0.0444836012104529","0.134916323104955","0.000100975021671012","2160"
"18","mech_vent","cancer","4","6","0.0722135644731384","0.033122130021071","0.111304998925206","0.00029380036153049","2428"
"19","mech_vent","cancer","7","10","0.0140057995622554","-0.0351887988945291","0.0632003980190399","0.576833540585883","1555"
"20","mech_vent","cancer","11","24","-0.00935567187257169","-0.108085268527926","0.089373924782783","0.852655953868364","640"
"21","rrt","cancer","0","24","0.0721925904469479","0.033866414938252","0.110518765955644","0.000222560550827439","6783"
"22","rrt","cancer","0","3","0.17363275216222","0.12341907885953","0.22384642546491","1.22323313591164e-11","2160"
"23","rrt","cancer","4","6","0.0998090815178673","0.0292164250691874","0.170401737966547","0.00558514952641399","2428"
"24","rrt","cancer","7","10","0.0307552417689169","-0.0504910745265617","0.112001558064395","0.458120840718516","1555"
"25","rrt","cancer","11","24","-0.022039746552952","-0.112765745676633","0.0686862525707289","0.633977578075674","640"
"26","vasopressor","cancer","0","24","0.0646313606552455","0.0406778644349107","0.0885848568755804","1.23340315542788e-07","6783"
"27","vasopressor","cancer","0","3","0.058044271426641","0.0178317554842264","0.0982567873690556","0.00466735138971974","2160"
"28","vasopressor","cancer","4","6","0.067817343571887","0.0321555274532604","0.103479159690514","0.00019354835891303","2428"
"29","vasopressor","cancer","7","10","0.0358041548541805","-0.0146728038397467","0.0862811135481077","0.164449657441359","1555"
"30","vasopressor","cancer","11","24","0.0214603465457643","-0.0930715450349532","0.135992238126482","0.713429667675469","640"
