"","treatment","cohort","sofa_start","sofa_end","sens","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","all","0","24","mech_vent","0.0988371017850053","0.090881007416598","0.106793196153413","5.9810575670963e-131","43441"
"2","mech_vent","all","0","24","rrt","0.104100241212221","0.0947151608956707","0.113485321528771","8.4941723844619e-105","34983"
"3","mech_vent","all","0","24","vasopressor","0.0899760628326312","0.07867843230801","0.101273693357252","6.24904313298572e-55","19394"
"4","mech_vent","all","0","3","mech_vent","0.0954646201219678","0.082677466689633","0.108251773554303","1.73737607129742e-48","15537"
"5","mech_vent","all","0","3","rrt","0.0974878513992539","0.0836394925977244","0.111336210200783","2.62932731675104e-43","15887"
"6","mech_vent","all","0","3","vasopressor","0.0723813710772641","0.0567491610573579","0.0880135810971703","1.1333202747787e-19","7886"
"7","mech_vent","all","4","6","mech_vent","0.100894040763957","0.0895362017789657","0.112251879748948","6.79811157082785e-68","15555"
"8","mech_vent","all","4","6","rrt","0.1084671058453","0.0952956697763703","0.121638541914231","1.32144323935974e-58","11755"
"9","mech_vent","all","4","6","vasopressor","0.096181192533516","0.08009679903018","0.112265586036852","1.0022632685198e-31","6459"
"10","mech_vent","all","7","10","mech_vent","0.0819149209150139","0.0649764629667506","0.0988533788632772","2.57662389320004e-21","9204"
"11","mech_vent","all","7","10","rrt","0.0944873023795428","0.0718606216226025","0.117113983136483","2.72730626928871e-16","5808"
"12","mech_vent","all","7","10","vasopressor","0.105834845093379","0.0792262461154126","0.132443444071344","6.3983012926354e-15","3657"
"13","mech_vent","all","11","24","mech_vent","0.0948424522622229","0.0430548031769779","0.146630101347468","0.000331326572770081","3145"
"14","mech_vent","all","11","24","rrt","0.158548668464572","0.0846664895878609","0.232430847341284","2.59822185591967e-05","1533"
"15","mech_vent","all","11","24","vasopressor","0.124875028447819","0.049924829725908","0.199825227169731","0.00109244333587561","1392"
"16","rrt","all","0","24","mech_vent","0.0540012898750842","0.0425420697105395","0.0654605100396288","2.54808114434996e-20","43441"
