"","treatment","cohort","cancer_type","sens","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","cancer","group_solid","mech_vent","0.079345022688419","0.0396778087570793","0.119012236619759","8.83568182069758e-05","2225"
"2","mech_vent","cancer","group_solid","rrt","0.126933678145176","0.0717736665829151","0.182093689707437","6.47260019580912e-06","1528"
"3","mech_vent","cancer","group_solid","vasopressor","0.0804270772487881","0.0190400275366625","0.141814126960914","0.0102310578550343","1072"
"4","mech_vent","cancer","group_hematological","mech_vent","0.124318629371455","0.0624998152291049","0.186137443513805","8.09427391253862e-05","1241"
"5","mech_vent","cancer","group_hematological","rrt","0.143620695831222","0.0456814785738436","0.2415599130886","0.00405056754624513","550"
"6","mech_vent","cancer","group_hematological","vasopressor","0.0893371625436164","5.60288006974663e-05","0.178618296286535","0.0498521979091419","502"
"7","mech_vent","cancer","group_metastasized","mech_vent","-0.0108898224182657","-0.0643408779840074","0.0425612331474759","0.68965775711139","1522"
"8","mech_vent","cancer","group_metastasized","rrt","0.241662531641172","0.131683183408549","0.351641879873796","1.65636609597645e-05","453"
"9","mech_vent","cancer","group_metastasized","vasopressor","-0.000950004771947899","-0.0731078526331266","0.0712078430892308","0.979413138062982","786"
"10","rrt","cancer","group_solid","mech_vent","0.0294250132514439","-0.0269329619937295","0.0857829884966174","0.306150005893108","2225"
"11","rrt","cancer","group_solid","rrt","0.118959518131766","0.0474210145193519","0.19049802174418","0.00111713857581046","1528"
"12","rrt","cancer","group_solid","vasopressor","-0.0167510774996804","-0.0940697800702294","0.0605676250708687","0.671103862318448","1072"
"13","rrt","cancer","group_hematological","mech_vent","0.125521926615258","0.0326790253708296","0.218364827859686","0.00805192635405291","1241"
"14","rrt","cancer","group_hematological","rrt","0.346862162464565","0.220889574229682","0.472834750699449","6.78370134933503e-08","550"
"15","rrt","cancer","group_hematological","vasopressor","0.242510883459009","0.110853277320165","0.374168489597852","0.000305862078378385","502"
"16","rrt","cancer","group_metastasized","mech_vent","0.185283373191852","0.110648764238564","0.25991798214514","1.1400764025349e-06","1522"
"17","rrt","cancer","group_metastasized","rrt","0.170803671209798","0.036216234635631","0.305391107783965","0.0128674158191541","453"
"18","rrt","cancer","group_metastasized","vasopressor","0.0614825939952918","-0.0501419813699222","0.173107169360506","0.280336335234319","786"
"19","vasopressor","cancer","group_solid","mech_vent","0.0963567406184964","0.0590939890780452","0.133619492158948","4.01361348740744e-07","2225"
"20","vasopressor","cancer","group_solid","rrt","0.114721330230887","0.0710814719241611","0.158361188537613","2.57054296050542e-07","1528"
"21","vasopressor","cancer","group_solid","vasopressor","0.0717521219243322","0.0185523453179567","0.124951898530708","0.0082051262077387","1072"
"22","vasopressor","cancer","group_hematological","mech_vent","0.0436845278167008","-0.0148722446893599","0.102241300322761","0.14368659053731","1241"
"23","vasopressor","cancer","group_hematological","rrt","0.150575164316751","0.073696324021697","0.227454004611805","0.000123605459304486","550"
"24","vasopressor","cancer","group_hematological","vasopressor","0.0826978117142204","0.000703937768960425","0.16469168565948","0.0480611788269322","502"
"25","vasopressor","cancer","group_metastasized","mech_vent","0.0440719205760656","-0.0127999154837815","0.100943756635913","0.128795050411054","1522"
"26","vasopressor","cancer","group_metastasized","rrt","0.0598302611974099","-0.0283061516053092","0.147966674000129","0.183346807037093","453"
"27","vasopressor","cancer","group_metastasized","vasopressor","0.0220444603387549","-0.0510785418795368","0.0951674625570466","0.554598786605053","786"
