"outcome","treatment","cohort","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"mortality_in","mv_elig","cancer_vs_others","0","1","0.0850392556812667","0.0621891217301023","0.107889389632431","3.00097871862308e-13","6545","SL.glm SL.mean","0.958340574697353 0.0416594253026469","0.974880829361418 0.0251191706385819"
"mortality_in","rrt_elig","cancer_vs_others","0","1","0.165110976099393","0.11980263503197","0.210419317166815","9.1608969597623e-13","6545","SL.glm SL.mean","0.959906214697968 0.0400937853020318","0.800213175605826 0.199786824394174"
"mortality_in","vp_elig","cancer_vs_others","0","1","0.115249869734194","0.0923419377531202","0.138157801715268","6.15781292024282e-23","6545","SL.glm SL.mean","0.979661528283058 0.0203384717169424","0.740203047281651 0.259796952718349"
"mortality_in","mv_elig","group_solid_vs_others","0","1","0.0824982912167073","0.0534153386261896","0.111581243807225","2.70017416263862e-08","3167","SL.glm SL.mean","0.935225898246466 0.0647741017535342","0.81421699254692 0.18578300745308"
"mortality_in","rrt_elig","group_solid_vs_others","0","1","0.0905355196981059","0.030902074852965","0.150168964543247","0.0029234661469621","3167","SL.glm SL.mean","0.841977919875321 0.158022080124679","0.748156084664319 0.251843915335681"
"mortality_in","vp_elig","group_solid_vs_others","0","1","0.119755314018676","0.0897728334226775","0.149737794614674","4.9338902015546e-15","3167","SL.glm SL.mean","0.979085447376416 0.0209145526235837","0.775240576405758 0.224759423594242"
"mortality_in","mv_elig","group_hematological_vs_others","0","1","0.138782933878653","0.0909080099848272","0.186657857772478","1.33303881828653e-08","1573","SL.glm SL.mean","0.913350149809191 0.0866498501908085","0.939034143812415 0.0609658561875847"
"mortality_in","rrt_elig","group_hematological_vs_others","0","1","0.19593711838079","0.0963939322295227","0.295480304532058","0.000114322688705938","1573","SL.glm SL.mean","0.768321939200438 0.231678060799562","0.777695856717461 0.222304143282539"
"mortality_in","vp_elig","group_hematological_vs_others","0","1","0.0799236890285243","0.0323155821438886","0.12753179591316","0.00100039709865221","1573","SL.glm SL.mean","0.722427958898992 0.277572041101008","0 1"
"mortality_in","mv_elig","group_metastasized_vs_others","0","1","0.058863242881884","0.0135462319421578","0.10418025382161","0.0109000693878877","2043","SL.glm SL.mean","0.639129858341127 0.360870141658873","0.747688990742086 0.252311009257914"
"mortality_in","rrt_elig","group_metastasized_vs_others","0","1","0.380121714698964","0.325504571617697","0.434738857780231","2.28056604803228e-42","2043","SL.glm SL.mean","0.851992019722152 0.148007980277848","0.809967654102097 0.190032345897903"
"mortality_in","vp_elig","group_metastasized_vs_others","0","1","0.134942470529111","0.0905597819267353","0.179325159131486","2.53408491563077e-09","2043","SL.glm SL.mean","0.917602291459977 0.0823977085400234","0.5450558045082 0.4549441954918"
