outcome,treatment,cohort,has_cancer,prob_mort_start,prob_mort_end,ATE,i_ci,s_ci,pvalue,n,SL_libraries,Q_weights,g_weights,RR,Database
mortality_in,mv_elig,cancer_vs_nocancer,1,0,0.1,0.061514251,0.045273542,0.077754959,1.13798565085258e-13,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.358717821785412 0 0 0.359528373264985 0.281753804949603,0.0630969995792172 0 0 0.566103062003572 0.370799938417211,1.328454017,all
mortality_in,mv_elig,cancer_vs_nocancer,1,0.1,0.2,-0.036699692,-0.066434052,-0.006965331,0.015557518,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.263870794281505 0 0.0453754687142452 0.446323367257954 0.244430369746296,0.290518935146251 0 0 0.335100976950669 0.37438008790308,0.88212242,all
mortality_in,mv_elig,cancer_vs_nocancer,1,0.2,1,0.03616162,0.010978806,0.061344435,0.004885472,2014,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.342959746132133 0 0 0.524271476083967 0.132768777783901,0.354391246290078 0 0 0.34089125119416 0.304717502515762,1.08719375,all
mortality_in,mv_elig,cancer_vs_nocancer,1,0,1,0.024527156,0.011642568,0.037411744,0.000190673,6145,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.22960337539428 0 0 0.48377492981077 0.28662169479495,0.108773688004191 0 0 0.356682155098011 0.534544156897799,1.083263995,all
mortality_in,mv_elig,cancer_vs_nocancer,0,0,0.1,0.024530346,0.021263731,0.02779696,4.90832951886818e-49,24260,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.191780312751302 0 0 0.690676903574292 0.117542783674406,0 0 0 0.683394603272258 0.316605396727742,1.475381982,all
mortality_in,mv_elig,cancer_vs_nocancer,0,0.1,0.2,0.039977882,0.032891644,0.047064121,2.01460897806964e-28,13141,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.197711814992283 0 0 0.594937381775875 0.207350803231842,0 0 0 0.460117334899395 0.539882665100605,1.34859136,all
mortality_in,mv_elig,cancer_vs_nocancer,0,0.2,1,0.063847886,0.055578431,0.072117341,9.80833324566478e-52,15442,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0786032737709555 0 0 0.618387027165194 0.303009699063851,0.356083780952472 0 0 0.327165653216013 0.316750565831516,1.255027951,all
mortality_in,mv_elig,cancer_vs_nocancer,0,0,1,0.039140867,0.036205435,0.042076299,1.47810881521945e-150,52843,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0496475963316396 0 0 0.774153761214775 0.176198642453585,0 0 0 0.811829251756391 0.188170748243609,1.310038485,all
mortality_in,rrt_elig,cancer_vs_nocancer,1,0,0.1,0.028024944,-0.011146263,0.067196151,0.160832489,2572,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.285577984527325 0 0 0.378902298332188 0.335519717140487,0.256610803561715 0.0281277809503406 0.715261415487944 0 0,1.142602438,all
mortality_in,rrt_elig,cancer_vs_nocancer,1,0.1,0.2,0.046028892,0.017135912,0.074921872,0.00179358,1559,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.221925259224513 0 0 0.500342469874563 0.277732270900924,0 0 0.763361515964873 0.236638484035127 0,1.152341379,all
