outcome,treatment,cohort,has_cancer,prob_mort_start,prob_mort_end,ATE,i_ci,s_ci,pvalue,n,SL_libraries,Q_weights,g_weights,RR
mortality_in,mv_elig,cancer_vs_others,1,0,0.06,0.047265483,0.009546664,0.084984302,0.014046282,1301,SL.glm SL.mean,0.703729692737454 0.296270307262546,0.813773635728047 0.186226364271953,1.300617634
mortality_in,mv_elig,cancer_vs_others,1,0.06,0.11,0.039839737,-0.005629005,0.08530848,0.085914676,1535,SL.glm SL.mean,0.878956715754538 0.121043284245462,0.951808275316862 0.0481917246831376,1.181777663
mortality_in,mv_elig,cancer_vs_others,1,0.11,0.21,0.016600032,-0.039586162,0.072786225,0.562538062,1468,SL.glm SL.mean,0.792452334618161 0.207547665381839,0.924654740268456 0.0753452597315437,1.056095275
mortality_in,mv_elig,cancer_vs_others,1,0.21,1,0.061251453,0.012443098,0.110059808,0.013906163,1841,SL.glm SL.mean,0.892953526978829 0.107046473021171,0.941778995512735 0.0582210044872653,1.148157956
mortality_in,mv_elig,cancer_vs_others,1,0,1,0.050543087,0.021467172,0.079619003,0.000656579,6145,SL.glm SL.mean,0.970980721777414 0.0290192782225863,0.988708575119572 0.0112914248804281,1.178477198
mortality_in,mv_elig,cancer_vs_others,0,0,0.06,0.025826933,0.015671888,0.035981978,6.20E-07,14226,SL.glm SL.mean,0.890697099333769 0.109302900666231,0.980658450419053 0.019341549580947,1.742170097
mortality_in,mv_elig,cancer_vs_others,0,0.06,0.11,0.056367119,0.04031089,0.072423347,5.95E-12,12155,SL.glm SL.mean,0.962982966289181 0.0370170337108194,0.992503009938513 0.00749699006148721,1.748094262
mortality_in,mv_elig,cancer_vs_others,0,0.11,0.21,0.052298642,0.034242876,0.070354408,1.37E-08,12236,SL.glm SL.mean,0.978908522543262 0.0210914774567375,1 0,1.410091947
mortality_in,mv_elig,cancer_vs_others,0,0.21,1,0.081604497,0.063295846,0.099913148,2.41E-18,14226,SL.glm SL.mean,0.98700442124937 0.0129955787506298,0.991553465574991 0.00844653442500928,1.331209619
mortality_in,mv_elig,cancer_vs_others,0,0,1,0.057523466,0.049169577,0.065877356,1.65E-41,52843,SL.glm SL.mean,0.984791901618336 0.0152080983816644,1 0,1.478281102
