"outcome","treatment","cohort","has_cancer","prob_mort_start","prob_mort_end","ATE","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","RR"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0","0.06","0.096541997713665","0.0297967874307755","0.163287207996555","0.0045826449975098","460","SL.glm SL.mean","0.38590665399031 0.61409334600969","0.818795445714957 0.181204554285043","2.32831358764144"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0.06","0.11","0.0336920247864726","-0.0245780342678988","0.091962083840844","0.257096139921154","485","SL.glm SL.mean","0.343886747806222 0.656113252193778","0.851971738509983 0.148028261490017","1.31761908888115"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0.11","0.21","0.0142471771270163","-0.059687613722185","0.0881819679762176","0.705660535474553","525","SL.glm SL.mean","0.564282551959805 0.435717448040195","0.751101931698204 0.248898068301796","1.06139788326106"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0.21","1","0.0848453432557832","0.0177566667315239","0.151934019780043","0.013183918534198","800","SL.glm SL.mean","0.764564003490886 0.235435996509114","0.854100911620825 0.145899088379175","1.25411907938065"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0","1","0.0683962371191963","0.0249595335374249","0.111832940700968","0.0020269677542326","2270","SL.glm SL.mean","0.916483142062171 0.0835168579378292","0.967591566843465 0.0324084331565345","1.31665893339463"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0","0.06","0.311286199279034","0.227483403986805","0.395088994571263","3.32741164425735e-13","460","SL.glm SL.mean","0.465784584253811 0.534215415746188","0 1","4.38522143967713"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0.06","0.11","0.292116179352096","0.191939607769554","0.392292750934639","1.09455685965269e-08","485","SL.glm SL.mean","0.399877538104781 0.600122461895219","0.254377658118516 0.745622341881484","3.56650603959326"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0.11","0.21","-0.0201937859998269","-0.126897422866412","0.0865098508667585","0.710687990776153","525","SL.glm SL.mean","0.508758341085409 0.491241658914591","0.503757870818016 0.496242129181984","0.91015562725533"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0.21","1","0.0509912202836078","-0.0383880053336398","0.140370445900855","0.263486640367666","800","SL.glm SL.mean","0.757932046040941 0.242067953959059","0.505506184355037 0.494493815644963","1.13181255452621"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0","1","0.0796615754949967","0.0295413232437367","0.129781827746257","0.00183794388016165","2270","SL.glm SL.mean","0.908332584954331 0.0916674150456686","0.721767757253429 0.278232242746571","1.34115172399096"
