"outcome","treatment","cohort","has_cancer","prob_mort_start","prob_mort_end","ATE","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","RR"
"free_days_hosp_28","mv_elig","cancer_vs_nocancer","1","0","0.06","2.31493060323049","0.275445095366329","4.35441611109466","0.0261007066588475","841","SL.glm SL.mean","0.249834771347097 0.750165228652903","0.840601911824722 0.159398088175278","0"
"free_days_hosp_28","mv_elig","cancer_vs_nocancer","1","0.06","0.11","1.86139688028585","0.338197677309252","3.38459608326246","0.0166121596349764","1050","SL.glm SL.mean","0.796864080652081 0.203135919347919","0.933894429925379 0.0661055700746205","0"
"free_days_hosp_28","mv_elig","cancer_vs_nocancer","1","0.11","0.21","2.92864752871382","1.40580576648512","4.45148929094253","0.000163662232258622","943","SL.glm SL.mean","0.743658980246991 0.256341019753009","0.946777028644971 0.053222971355029","0"
"free_days_hosp_28","mv_elig","cancer_vs_nocancer","1","0.21","1","-0.409628696145265","-2.04236345979196","1.22310606750143","0.622906945384227","1041","SL.glm SL.mean","0.372827893681224 0.627172106318776","0.856882698306595 0.143117301693405","0"
"free_days_hosp_28","mv_elig","cancer_vs_nocancer","1","0","1","-2.67397139721306","-3.43546646740148","-1.91247632702464","5.88143553124337e-12","3875","SL.glm SL.mean","0.933096635392497 0.0669033646075031","0.813587425928827 0.186412574071173","0"
"free_days_hosp_28","rrt_elig","cancer_vs_nocancer","1","0","0.06","-5.53943005841674","-8.51428195299371","-2.56457816383978","0.000262558452457949","841","SL.glm SL.mean","0.653496603730006 0.346503396269994","0 1","0"
"free_days_hosp_28","rrt_elig","cancer_vs_nocancer","1","0.06","0.11","-4.32265859466674","-7.09669496853877","-1.54862222079472","0.00225675428567936","1050","SL.glm SL.mean","0.455768846135372 0.544231153864628","0.399756414484388 0.600243585515612","0"
"free_days_hosp_28","rrt_elig","cancer_vs_nocancer","1","0.11","0.21","-2.70694112915193","-5.58728467157151","0.173402413267652","0.0654745502253636","943","SL.glm SL.mean","0 1","0.74199361089556 0.25800638910444","0"
"free_days_hosp_28","rrt_elig","cancer_vs_nocancer","1","0.21","1","-2.5936468357947","-4.64234756664556","-0.544946104943835","0.0130885025275469","1041","SL.glm SL.mean","0.688316281987436 0.311683718012564","0.846344737818688 0.153655262181312","0"
"free_days_hosp_28","rrt_elig","cancer_vs_nocancer","1","0","1","-5.36393021826706","-6.84580811508797","-3.88205232144614","1.29743678092052e-12","3875","SL.glm SL.mean","0.944291715675368 0.0557082843246321","0.833889510068234 0.166110489931766","0"
"free_days_hosp_28","vp_elig","cancer_vs_nocancer","1","0","0.06","0.949017316288651","-0.635822457401772","2.53385708997907","0.240528484418446","841","SL.glm SL.mean","0 1","0.695050214574665 0.304949785425335","0"
"free_days_hosp_28","vp_elig","cancer_vs_nocancer","1","0.06","0.11","0.426135441099006","-1.06428142414672","1.91655230634474","0.575208528963345","1050","SL.glm SL.mean","0.511832841147249 0.488167158852751","0.068826343889166 0.931173656110834","0"
"free_days_hosp_28","vp_elig","cancer_vs_nocancer","1","0.11","0.21","-0.521540553569032","-2.0619721389431","1.01889103180503","0.506950893593959","943","SL.glm SL.mean","0 1","0 1","0"
"free_days_hosp_28","vp_elig","cancer_vs_nocancer","1","0.21","1","-3.80015300988588","-5.26057651267386","-2.3397295070979","3.39481456095693e-07","1041","SL.glm SL.mean","0.890737261276795 0.109262738723205","0 1","0"
"free_days_hosp_28","vp_elig","cancer_vs_nocancer","1","0","1","-2.78258772734533","-3.5390460889653","-2.02612936572537","5.60567228513767e-13","3875","SL.glm SL.mean","0.944331834541461 0.0556681654585391","0.708766009761901 0.291233990238099","0"
"free_days_hosp_28","mv_elig","group_solid_vs_nocancer","1","0","1","-3.2513493511898","-4.38620581813453","-2.11649288424508","1.96136309320578e-08","1430","SL.glm SL.mean","0.907665270146004 0.0923347298539959","0.752350661506369 0.247649338493631","0"
"free_days_hosp_28","rrt_elig","group_solid_vs_nocancer","1","0","1","-7.27544941384159","-9.62444709010093","-4.92645173758226","1.27414466654536e-09","1430","SL.glm SL.mean","0.835147807032293 0.164852192967707","0.791972982052154 0.208027017947846","0"
"free_days_hosp_28","vp_elig","group_solid_vs_nocancer","1","0","1","-3.40904702446559","-4.5448928843444","-2.27320116458677","4.03859751794297e-09","1430","SL.glm SL.mean","0.87956085497078 0.12043914502922","0.289433359336172 0.710566640663828","0"
"free_days_hosp_28","mv_elig","group_hematological_vs_nocancer","1","0","1","-4.67759107430032","-6.23649601640967","-3.11868613219097","4.07544646180808e-09","910","SL.glm SL.mean","0.829697145019985 0.170302854980015","0.749659248098529 0.250340751901471","0"
"free_days_hosp_28","rrt_elig","group_hematological_vs_nocancer","1","0","1","-2.89340892253225","-5.36245151149998","-0.424366333564515","0.0216259178897553","910","SL.glm SL.mean","0.772125692568732 0.227874307431268","0.764995567501163 0.235004432498837","0"
"free_days_hosp_28","vp_elig","group_hematological_vs_nocancer","1","0","1","-2.07761806309798","-3.62644454996013","-0.528791576235835","0.00855930291922996","910","SL.glm SL.mean","0.757379744955724 0.242620255044276","0 1","0"
"free_days_hosp_28","mv_elig","group_metastasized_vs_nocancer","1","0","1","-1.9842961584036","-3.2697470162091","-0.698845300598108","0.00248165643408871","1535","SL.glm SL.mean","0.823213619575572 0.176786380424428","0.495174308094602 0.504825691905398","0"
"free_days_hosp_28","rrt_elig","group_metastasized_vs_nocancer","1","0","1","-7.02051506108907","-9.12900999937121","-4.91202012280694","6.7512656119939e-11","1535","SL.glm SL.mean","0.806278607905776 0.193721392094224","0.513207326374253 0.486792673625747","0"
"free_days_hosp_28","vp_elig","group_metastasized_vs_nocancer","1","0","1","-3.34343190512711","-4.60600607990845","-2.08085773034577","2.09966431128564e-07","1535","SL.glm SL.mean","0.93036865065691 0.0696313493430904","0.720014387660036 0.279985612339964","0"
