"outcome","treatment","cohort","has_cancer","prob_mort_start","prob_mort_end","ATE","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights","RR"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0","0.06","-0.117354447480563","-0.150548079401947","-0.0841608155591791","4.22380572458423e-12","841","SL.glm SL.mean","0.708091132642496 0.291908867357504","0.670071175088096 0.329928824911904","0.421488958660657"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0.06","0.11","0.0351147414074657","-0.016177803357576","0.0864072861725073","0.179657332877086","1050","SL.glm SL.mean","0.827208160245887 0.172791839754113","0.945288323551505 0.0547116764484948","1.12949922378447"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0.11","0.21","-0.00207130276610518","-0.0770807005167499","0.0729380949845396","0.956836957581558","943","SL.glm SL.mean","0.734349689699428 0.265650310300572","0.948113743470356 0.0518862565296442","0.993960095817851"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0.21","1","0.0481842917915024","-0.0143945209525308","0.110763104535536","0.131258834967314","1041","SL.glm SL.mean","0.80514994685488 0.19485005314512","0.946183769290686 0.0538162307093139","1.10768129237486"
"mortality_in","mv_elig","cancer_vs_nocancer","1","0","1","0.0233676467233592","-0.00890480802337846","0.0556401014700969","0.155845052793381","3875","SL.glm SL.mean","0.949113198388458 0.0508868016115424","0.988638230978139 0.0113617690218609","1.07259245531581"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0","0.06","0.176802056866309","0.101500212822268","0.25210390091035","4.18641518520379e-06","841","SL.glm SL.mean","0.703748635059718 0.296251364940282","0.347296274766297 0.652703725233703","1.90068562497919"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0.06","0.11","0.0306239285977598","-0.0359043720626219","0.0971522292581414","0.366942115138173","1050","SL.glm SL.mean","0.816088496427056 0.183911503572944","0.542217925752164 0.457782074247836","1.10771538585128"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0.11","0.21","0.0198588293062396","-0.0643859649537253","0.104103623566204","0.644062504134623","943","SL.glm SL.mean","0.805860763012741 0.194139236987259","0.681077131453397 0.318922868546603","1.05447159977176"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0.21","1","-0.0205936880332777","-0.0969132139809611","0.0557258379144056","0.596890899705671","1041","SL.glm SL.mean","0.809234543674647 0.190765456325353","0.827974207745635 0.172025792254365","0.95911943105727"
"mortality_in","rrt_elig","cancer_vs_nocancer","1","0","1","0.0376627068706493","-0.000203365720695216","0.0755287794619939","0.0512389032283248","3875","SL.glm SL.mean","0.957717105305322 0.0422828946946778","0.912202558068607 0.0877974419313927","1.10858670261628"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0","0.06","-0.0370597003624412","-0.120190011647018","0.046070610922136","0.382241944494605","841","SL.glm SL.mean","0.742404345537358 0.257595654462642","0.963861297776171 0.0361387022238285","0.846087621117131"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0.06","0.11","0.028308668690055","-0.0307603158879937","0.0873776532681037","0.347563761708302","1050","SL.glm SL.mean","0.824894013822722 0.175105986177278","0.894251575654598 0.105748424345402","1.1047054005933"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0.11","0.21","0.00997901331189655","-0.0492394257251144","0.0691974523489075","0.741185851252543","943","SL.glm SL.mean","0.812293092581822 0.187706907418178","0.883521329439787 0.116478670560213","1.02851875537509"
"mortality_in","vp_elig","cancer_vs_nocancer","1","0.21","1","0.0477981127680172","-0.0208694384793421","0.116465664015377","0.172467847480673","1041","SL.glm SL.mean","0.769750298236596 0.230249701763404","0.949053328755707 0.050946671244293","1.10162096884322"
